Codigo do par|Codigo do estudante|Codigo da OE
25529435|8664944|01010524
25556667|5061792|01024892
25557535|7985505|01038607
25557814|5901204|01015168
25515636|4751996|01011811
25558479|1584280|01039239
25465507|7922509|01032836
25529857|8724563|01040233
25555694|8671251|01010522
25559569|5692260|01033894
25564002|8991121|00987236
25565916|7975233|01033583
25567214|8952968|01028401
25569527|8525446|01041577
25570009|1107194|01035941
25575058|8843588|01033269
25577447|8988067|01004029
25580099|6100688|01041682
